Date,Time,Flow,AMLE,MLE,LAD
20211014,1200,135,951,951,1035
20211015,1200,131,904,904,986
20211016,1200,131,904,904,986
20211017,1200,138,986,986,1073
20211018,1200,142,1035,1035,1124
20211019,1200,133,927,927,1010
20211020,1200,125,835,835,914
20211021,1200,119,768,768,844
20211022,1200,116,736,736,809
20211023,1200,174,1457,1457,1562
20211024,1200,333,4327,4328,4477
20211025,1200,257,2805,2805,2941
20211026,1200,296,3554,3554,3698
20211027,1200,291,3454,3454,3597
20211028,1200,238,2466,2466,2597
20211029,1200,225,2244,2244,2370
20211030,1200,316,3964,3965,4112
20211031,1200,369,5137,5138,5288
20211101,1200,251,2696,2696,2830
20211102,1200,210,1999,1999,2120
20211103,1200,219,2145,2145,2269
20211104,1200,209,1983,1983,2103
20211105,1200,202,1873,1873,1990
20211106,1200,315,3943,3944,4091
20211107,1200,299,3614,3614,3759
20211108,1200,261,2878,2879,3016
20211109,1200,216,2096,2096,2219
20211110,1200,215,2079,2080,2202
20211111,1200,230,2329,2329,2456
20211112,1200,231,2346,2346,2474
20211113,1200,595,11390,11391,11475
20211114,1200,611,11903,11905,11980
20211115,1200,443,6969,6970,7112
20211116,1200,378,5348,5349,5498
20211117,1200,356,4838,4839,4989
20211118,1200,277,3180,3180,3321
20211119,1200,231,2346,2346,2474
20211120,1200,317,3985,3986,4133
20211121,1200,309,3819,3819,3965
20211122,1200,251,2696,2696,2830
20211123,1200,219,2145,2145,2269
20211124,1200,184,1601,1601,1711
20211125,1200,196,1780,1780,1895
20211126,1200,225,2244,2244,2370
20211127,1200,236,2431,2432,2561
20211128,1200,237,2449,2449,2579
20211129,1200,267,2990,2990,3129
